street|number|locality|xpos|ypos|street_sv
"Seurasaarentie"|1|"Helsinki"|2550191|6675428|"Fölisövägen"
"Siilitie"|2|"Helsinki"|2558030|6677666|"Igelkottsvägen"
"Siltavoudintie"|19|"Helsinki"|2553773|6680602|"Brofogdevägen"
"Sofianlehdonkatu"|5|"Helsinki"|2552933|6677333|"Sofielundsgatan"
"Solakalliontie"|1|"Helsinki"|2553651|6681301|"Svalustensvägen"
"Solakalliontie"|5|"Helsinki"|2553496|6681536|"Svalustensvägen"
"Tehtaankatu"|1|"Helsinki"|2553100|6672399|"Fabriksgatan"
"Tenholantie"|10|"Helsinki"|2550517|6677093|"Tenholavägen"
"Toini Muonan katu"|4|"Helsinki"|2554431|6677676|"Toini Muonas gata"
"Torpparinmäentie"|1|"Helsinki"|2552644|6683668|"Torparbacksvägen"
"Tulppatie"|1|"Helsinki"|2558713|6678252|"Pluggvägen"
"Tuukkalantie"|1|"Helsinki"|2561196|6681416|"Tuukkalavägen"
"Tähkätie"|4|"Helsinki"|2547166|6680695|"Axvägen"
"Ulvilantie"|17|"Helsinki"|2548236|6677364|"Ulfsbyvägen"
"Valimotie"|22|"Helsinki"|2547989|6679161|"Gjuterivägenn"
"Vannetie"|36|"Helsinki"|2550019|6682650|"Tunnbandsvägen"
"Varikkotie"|2|"Helsinki"|2558976|6678026|"Depåvägen"
"Vartiokyläntie"|56|"Helsinki"|2561657|6679466|"Botbyvägen"
"Vihdintie"|1|"Helsinki"|2549522|6677897|"Vichtisvägen"
"Vuolukiventie"|1|"Helsinki"|2555923|6681057|"Täljstensvägen"
"Suomenlinna C"|89|"Helsinki"|2555279|6670846|"Sveaborg C"
"Suomenlinna C"|87|"Helsinki"|2555185|6670871|"Sveaborg C"
"Majakkakuja"|3|"Helsinki"|2567580|6682455|"Fyrgränd"
"Majakkakuja"|5|"Helsinki"|2567563|6682487|"Fyrgränd"
"Aarnivalkeantie"|1|"Espoo"|2544517|6674625|"Drakeldsvägen"
"Ahertajantie"|5|"Espoo"|2544331|6674374|"Flitarvägen"
"Anfallintie"|12|"Espoo"|2540298|6684207|"Anfallsvägen"
"Anfallintie"|18|"Espoo"|2540137|6684266|"Anfallsvägen"
"Anfallintie"|25|"Espoo"|2540390|6684237|"Anfallsvägen"
"Anfallintie"|27|"Espoo"|2540102|6684332|"Anfallsvägen"
"Arkiniityntie"|6|"Espoo"|2531859|6681432|"Arkniittyvägen"
"Arvelantie"|1|"Espoo"|2535571|6678141|"Arvidsvägen"
"Aurinkoniityntie"|20|"Espoo"|2535484|6682750|"Solängsvägen"
"Bodomintie"|4|"Espoo"|2538521|6683501|"Bodomvägen"
"Bodomintie"|10|"Espoo"|2538360|6684040|"Bodomvägen"
"Bodomintie"|11|"Espoo"|2538399|6684198|"Bodomvägen"
"Bodomintie"|31|"Espoo"|2537840|6685034|"Bodomvägen"
"Bosundintie"|5|"Espoo"|2540262|6667872|"Bosundsvägen"
"Brobackantie"|2|"Espoo"|2533209|6680919|"Brobackavägen"
"Espoonlahdentie"|16|"Espoo"|2536718|6670032|"Esboviksvägen"
"Everstinkatu"|4|"Espoo"|2545708|6678199|"Överstegatan"
"Finnoontie"|70|"Espoo"|2537006|6675555|"Finnovägen"
"Hagalundintie"|1|"Espoo"|2544932|6676029|"Hagalundvägen"
"Hakarinne"|2|"Espoo"|2544399|6673829|"Hagsluttningen"
"Hansatie"|5|"Espoo"|2533685|6675662|"Hansavägen"
"Haukilahdenkatu"|1|"Espoo"|2543179|6672622|"Gäddviksgatan"
"Huhtamäentie"|6|"Espoo"|2539822|6690972|"Svidibackavägen"
"Hämeenkyläntie"|58|"Espoo"|2544933|6681964|"Tavastbyvägen"
"Inglaksentie"|1|"Espoo"|2534774|6675819|"Inglasvägen"
"Ingaksentie"|1|"Espoo"|2538711|6679389|"Ingasvägen"
"Inglaksentie"|2|"Espoo"|2534790|6675843|"Inglasvägen"
"Ingaksentie"|2|"Espoo"|2538661|6679387|"Ingasvägen"
"Iso Maantie"|37|"Espoo"|2534952|6676876|"Stora Landsvägen"
"Kaivomestarinkatu"|8|"Espoo"|2536910|6677650|"Brunnsmästargatan"
"Kalajärventie"|17|"Espoo"|2540360|6688544|"Kalajärvivägen"
"Kalajärventie"|30|"Espoo"|2540223|6688109|"Kalajärvivägen"
"Kalliomäentie"|17|"Espoo"|2540548|6685675|"Bergbacksvägen"
"Karapellontie"|4|"Espoo"|2542194|6678917|"Karaåkersvägen"
"Karhuniityntie"|20|"Espoo"|2534532|6680330|"Björnängsvägen"
"Kaskenpolttajantie"|11|"Espoo"|2536810|6674150|"Svedjebrännarvägen"
"Kauklahdenväylä"|1|"Espoo"|2532427|6675377|"Köklaxleden"
"Keilaranta"|1|"Espoo"|2546288|6674151|"Kägelstranden"
"Keilasatama"|3|"Espoo"|2546160|6673690|"Kägelhamnen"
"Kellonummentie"|14|"Espoo"|2535841|6681053|"Klockmalmsvägen"
"Kilonväylä"|1|"Espoo"|2541425|6676141|"Kiloleden"
"Koivumäentie"|2|"Espoo"|2529697|6684503|"Björkbacksvägen"
"Koivumäentie"|13|"Espoo"|2529940|6684524|"Björkbacksvägen"
"Korpilammentie"|10|"Espoo"|2540114|6690817|"Korpilampivägen"
"Kortesmäki"|2|"Espoo"|2541642|6688416|"Kortesbacken"
"Koskelontie"|26|"Espoo"|2540035|6683679|"Skrakabyvägen"
"Kuninkaankartanontie"|46|"Espoo"|2531831|6675932|"Kungsgårdsvägen"
"Kunnarlantie"|11|"Espoo"|2537246|6679681|"Gunnarsvägen"
"Kunnarlantie"|16|"Espoo"|2536719|6680149|"Gunnarsvägen"
"Kuormaajantie"|18|"Espoo"|2547198|6679277|"Lastarevägen"
"Kutojantie"|6|"Espoo"|2541828|6678060|"Vävarsvägen"
"Kuudes Huvilatie"|11|"Espoo"|2542345|6682171|"Sjätte Villavägen"
"Kuusinevantie"|16|"Espoo"|2542555|6681262|"Grankärrsvägen"
"Kuutamoinen"|1|"Espoo"|2540309|6673759|"Månljusstigen"
"Kylänraitti"|1|"Espoo"|2536712|6677497|"Bygatan"
"Laaksolahdentie"|9|"Espoo"|2541991|6681633|"Dalsvikvägen"
"Lahnuksentie"|1|"Espoo"|2539827|6689989|"Lahnusvägen"
"Lahnuksentie"|14|"Espoo"|2539626|6690541|"Lahnusvägen"
"Lahnuksentie"|24|"Espoo"|2539387|6691777|"Lahnusvägen"
"Lahnuksentie"|26|"Espoo"|2539371|6692047|"Lahnusvägen"
"Lahnuksentie"|46|"Espoo"|2540162|6692792|"Lahnusvägen"
"Laitmanintie"|7|"Espoo"|2534626|6673776|"Laitmansvägen"
"Lapinkyläntie"|4|"Espoo"|2531224|6676155|"Lappbölevägen"
"Lasilaaksontie"|18|"Espoo"|2532422|6674848|"Glasdalsvägen"
"Lehtimäentie"|2|"Espoo"|2536576|6678025|"Lövkullavägen"
"Leirikatu"|5|"Espoo"|2545073|6677969|"Lägergatan"
"Lepsämänjoentie"|8|"Espoo"|2539236|6692275|"Lepsämänjokivägen"
"Lepsämänjoentie"|10|"Espoo"|2539160|6692341|"Lepsämänjokivägen"
"Lepsämänjoentie"|39|"Espoo"|2538772|6693296|"Lepsämänjokivägen"
"Lukkarinojantie"|7|"Espoo"|2536123|6680907|"Klockarbäcksvägen"
"Lukkarinojantie"|9|"Espoo"|2535959|6680870|"Klockarbäcksvägen"
"Lähdepurontie"|2|"Espoo"|2541547|6681603|"Källbäcksvägen"
"Läntinen Teollisuuskatu"|13|"Espoo"|2542152|6685660|"Västra Industrigatan"
"Maapallonkatu"|1|"Espoo"|2540403|6673383|"Jordklotsgatan"
"Makasiinitie"|5|"Espoo"|2533333|6672834|"Magasinsvägen"
"Mankintie"|17|"Espoo"|2531469|6675177|"Mankbyvägen"
"Matinkatu"|3|"Espoo"|2541461|6672143|"Mattsgatan"
"Matinsyrjä"|1|"Espoo"|2541682|6672733|"Mattliden"
"Mellstenintie"|6|"Espoo"|2543148|6671675|"Mellstensvägen"
"Merikarhunkuja"|2|"Espoo"|2536299|6671112|"Sjöbjörnsgränden"
"Mestarintie"|1|"Espoo"|2545492|6679312|"Mästarvägen"
"Metsämaankuja"|1|"Espoo"|2542154|6689095|"Metsämaagränden"
"Munkkirannanpolku"|2|"Espoo"|2538098|6668761|"Munkstrandsstigen"
"Mustanlahdentie"|23|"Espoo"|2532532|6673545|"Musslaxvägen"
"Mustanlahdentie"|25|"Espoo"|2532504|6673624|"Musslaxvägen"
"Mustanpurontie"|8|"Espoo"|2532306|6681159|"Svartbäcksvägen"
"Myllytie"|5|"Espoo"|2536957|6679355|"Kvarnvägen"
"Myllärintie"|8|"Espoo"|2533829|6679812|"Mjölnarvägen"
"Mynttiläntie"|8|"Espoo"|2533062|6677625|"Myntbölevägen"
"Myrskymäentie"|14|"Espoo"|2532366|6682387|"Stormbackavägen"
"Mäenrinne"|14|"Espoo"|2544505|6673070|"Backliden"
"Mäkkyläntie"|38|"Espoo"|2546517|6679702|"Mäkkylävägen"
"Mäntyviita"|10|"Espoo"|2545374|6674646|"Tallbysket"
"Naruportti"|1|"Espoo"|2528683|6684750|"Snörporten"
"Niittykummuntie"|1|"Espoo"|2542394|6673404|"Ängskullavägen"
"Nupurintie"|17|"Espoo"|2533828|6680356|"Nupurbölevägen"
"Nuuksiontie"|1|"Espoo"|2532991|6681925|"Nouxvägen"
"Nuuksiontie"|2|"Espoo"|2532946|6681970|"Nouxvägen"
"Nuuksiontie"|3|"Espoo"|2533038|6682178|"Nouxvägen"
"Nuuksiontie"|31|"Espoo"|2533306|6683969|"Nouxvägen"
"Nuuksiontie"|33|"Espoo"|2533003|6684825|"Nouxvägen"
"Nuuksiontie"|37|"Espoo"|2532986|6685255|"Nouxvägen"
"Nuuksiontie"|38|"Espoo"|2533321|6683652|"Nouxvägen"
"Nuuksiontie"|40|"Espoo"|2533173|6684100|"Nouxvägen"
"Nuuksiontie"|52|"Espoo"|2532411|6685890|"Nouxvägen"
"Nuuksiontie"|66|"Espoo"|2531764|6686341|"Nouxvägen"
"Orionintie"|3|"Espoo"|2543104|6674399|"Orionvägen"
"Otaniementie"|17|"Espoo"|2545565|6675319|"Otnäsvägen"
"Otaranta"|2|"Espoo"|2546598|6674988|"Otstranden"
"Peringintie"|1|"Espoo"|2532582|6676537|"Sperringsvägen"
"Peringintie"|16|"Espoo"|2531583|6677658|"Sperringsvägen"
"Peringintie"|19|"Espoo"|2531709|6677631|"Sperringsvägen"
"Pihlajaniityntie"|11|"Espoo"|2538846|6680558|"Rönnängsvägen"
"Pikkunevantie"|2|"Espoo"|2540030|6685180|"Lillmossvägen"
"Pitkäjärvenranta"|44|"Espoo"|2542263|6683158|"Långträskstranden"
"Pitkäjärvenranta"|46|"Espoo"|2542272|6683189|"Långträskstranden"
"Pitkäniityntie"|1|"Espoo"|2535642|6679333|"Långängsvägen"
"Punarinnantie"|9|"Espoo"|2545325|6681170|"Rödhakevägen"
"Puotismäentie"|5|"Espoo"|2538123|6681092|"Bodbacksvägen"
"Ramsiontie"|3|"Espoo"|2538766|6666891|"Ramsövägen"
"Ramsiontie"|5|"Espoo"|2538541|6666868|"Ramsövägen"
"Rinkelikorpi"|3|"Espoo"|2542178|6689518|"Kringelkärr"
"Ristiniementie"|33|"Espoo"|2536528|6670083|"Korsnäsvägen"
"Ruukintie"|20|"Espoo"|2535068|6672682|"Bruksvägen"
"Råbackanraja"|6|"Espoo"|2528947|6679467|"Råbackarån"
"Råbackanraja"|8|"Espoo"|2528888|6679379|"Råbackarån"
